Referencia credito,FGA,Agosto,fact Septiembre,Dif,Comentatario,fecha-corte
66852236,"20,825",-17740,,"3,085",Dif YA facturada y pagada FGA  Agosto,2023-08-31
64631715,"17,493",-16843,,650,Dif YA facturada y pagada FGA  Agosto,2023-08-31
17691753,"17,850",-16636, - ,"1,214",Dif YA facturada y pagada FGA  Agosto,2023-08-31
67882121,"19,992",-18213, - ,"1,779",Dif YA facturada y pagada FGA  Agosto,2023-08-31
92134152,"19,040",-11581, - ,"7,459",Dif YA facturada y pagada FGA  Agosto,2023-08-31
98747548,"20,468",-20031, - ,437,Dif YA facturada y pagada FGA  Agosto,2023-08-31
74366414,"20,706",-19853, - ,853,Dif YA facturada y pagada FGA  Agosto,2023-08-31
69218292,"17,955",-14379, - ,"3,576",Dif YA facturada y pagada FGA  Agosto,2023-08-31
33413758,"14,994",-7548, - ,"7,446",Dif YA facturada y pagada FGA  Agosto,2023-08-31
89273588,"10,115",-10093, - ,22,Dif YA facturada y pagada FGA  Agosto,2023-08-31
92772697,"17,955",-16653, - ,"1,302",Dif YA facturada y pagada FGA  Agosto,2023-08-31
22857171,"19,278",-14469, - ,"4,809",Dif YA facturada y pagada FGA  Agosto,2023-08-31
72396929,"17,850",-8925, - ,"8,925",Dif YA facturada y pagada FGA  Agosto,2023-08-31
32887437,"14,756",-8795, - ,"5,961",Dif YA facturada y pagada FGA  Agosto,2023-08-31
35877757,"19,635",-15637, - ,"3,998",Dif YA facturada y pagada FGA  Agosto,2023-08-31
77169432,"19,040",-13842, - ,"5,198",Dif YA facturada y pagada FGA  Agosto,2023-08-31
23378145,"19,159",-18848, - ,311,Dif YA facturada y pagada FGA  Agosto,2023-08-31
98229452,"10,591",-8629, - ,"1,962",Dif YA facturada y pagada FGA  Agosto,2023-08-31
96134776,"15,232",-7616, - ,"7,616",Dif YA facturada y pagada FGA  Agosto,2023-08-31
41784966,"20,349",-19184, - ,"1,165",Dif YA facturada y pagada FGA  Agosto,2023-08-31
66116175,"23,324",-22351, - ,973,Dif YA facturada y pagada FGA  Agosto,2023-08-31
53226897,"18,921",-15557, - ,"3,364",Dif YA facturada y pagada FGA  Agosto,2023-08-31
16166959,"19,992",-15213, - ,"4,779",Dif YA facturada y pagada FGA  Agosto,2023-08-31
22273355,"16,660",-16504, - ,156,Dif YA facturada y pagada FGA  Agosto,2023-08-31
46532983,"18,326",-15468, - ,"2,858",Dif YA facturada y pagada FGA  Agosto,2023-08-31
23433272,"22,610",-22422, - ,188,Dif YA facturada y pagada FGA  Agosto,2023-08-31
39767276,"19,992",-18715, - ,"1,277",Dif YA facturada y pagada FGA  Agosto,2023-08-31
