created_at,referencia_credito,datos_garantia.fecha_desembolso,datos_garantia.codigo_producto
2023-10-02 16:00:08.513,37252842,2023-10-02 12:10:36,489
2023-10-02 16:00:10.214,65623714,2023-10-02 12:10:36,489
2023-10-02 16:00:11.187,71822642,2023-10-02 12:10:36,489
2023-10-02 16:00:12.006,19592448,2023-10-02 12:10:36,489
2023-10-02 16:00:13.058,86372841,2023-10-02 12:10:36,489
2023-10-02 16:00:13.826,89183391,2023-10-02 12:10:36,489
2023-10-02 16:00:14.963,51866319,2023-10-02 12:10:36,489
2023-10-02 16:00:16.113,35649938,2023-10-02 12:10:36,489
2023-10-02 16:00:16.945,31814313,2023-10-02 12:10:36,489
2023-10-02 16:00:18.237,41628542,2023-10-02 12:10:37,489
2023-10-02 16:00:19.063,83663762,2023-10-02 12:10:37,489
2023-10-02 16:00:19.969,15691566,2023-10-02 12:10:37,489
2023-10-02 16:00:20.891,98583144,2023-10-02 12:10:37,489
2023-10-02 16:00:21.745,97431321,2023-10-02 12:10:37,489
2023-10-02 16:00:22.523,77679345,2023-10-02 12:10:37,489
2023-10-02 16:00:23.354,74722231,2023-10-02 12:10:37,489
2023-10-02 16:00:24.380,19373641,2023-10-02 12:10:37,489
2023-10-02 16:00:25.230,49968357,2023-10-02 12:10:37,489
2023-10-02 16:00:26.233,67769838,2023-10-02 12:10:37,489
2023-10-02 16:00:27.059,74826429,2023-10-02 12:10:37,489
2023-10-02 16:00:27.886,93711864,2023-10-02 12:10:37,489
2023-10-02 16:00:28.842,32126267,2023-10-02 12:10:37,489
2023-10-02 16:00:29.730,49562581,2023-10-02 12:10:37,489
2023-10-02 16:00:30.633,89259567,2023-10-02 12:10:37,489
2023-10-02 16:00:31.430,95889398,2023-10-02 12:10:37,489
2023-10-02 16:00:32.294,75825238,2023-10-02 12:10:37,489
2023-10-02 16:00:33.083,47987783,2023-10-02 12:10:37,489
2023-10-02 16:00:33.878,83779381,2023-10-02 12:10:38,489
2023-10-02 16:00:35.003,51693725,2023-10-02 12:10:38,489
2023-10-02 16:00:35.835,73661794,2023-10-02 12:10:38,489
2023-10-02 16:00:36.912,12479238,2023-10-02 12:10:38,489
2023-10-02 16:00:37.784,28512513,2023-10-02 12:10:38,489
2023-10-02 16:00:38.503,64495986,2023-10-02 12:10:38,489
2023-10-02 16:00:39.454,27258752,2023-10-02 12:10:38,489
2023-10-02 16:00:40.428,32621613,2023-10-02 12:10:38,489
2023-10-02 16:00:41.406,31386482,2023-10-02 12:10:38,489
2023-10-02 16:00:42.373,53678249,2023-10-02 12:10:38,489
2023-10-02 16:00:43.180,81336231,2023-10-02 12:10:38,489
2023-10-02 16:00:44.277,68295562,2023-10-02 12:10:38,489
2023-10-02 16:00:45.124,81518398,2023-10-02 12:10:38,489
2023-10-02 16:00:46.197,41269983,2023-10-02 12:10:38,489
2023-10-02 16:00:47.086,26489145,2023-10-02 12:10:38,489
2023-10-02 16:00:47.932,79391681,2023-10-02 12:10:38,489
2023-10-02 16:00:48.784,95656664,2023-10-02 12:10:38,489
2023-10-02 16:00:49.790,96564261,2023-10-02 12:10:38,489
2023-10-02 16:00:50.585,82314692,2023-10-02 12:10:38,489
2023-10-02 16:00:51.401,75353646,2023-10-02 12:10:39,489
2023-10-02 16:00:52.311,79726339,2023-10-02 12:10:39,489
2023-10-02 16:00:53.359,12756764,2023-10-02 12:10:39,489
2023-10-02 16:00:54.311,57845991,2023-10-02 12:10:39,489
2023-10-02 16:00:55.224,57389843,2023-10-02 12:10:39,489
2023-10-02 16:00:56.063,88277464,2023-10-02 12:10:39,489
2023-10-02 16:00:56.830,62477689,2023-10-02 12:10:39,489
2023-10-02 16:00:57.742,77691152,2023-10-02 12:10:39,489
2023-10-02 16:00:58.773,84731538,2023-10-02 12:10:39,489
2023-10-02 16:00:59.665,57298916,2023-10-02 12:10:39,489
2023-10-02 16:01:00.533,38556892,2023-10-02 12:10:39,489
2023-10-02 16:01:01.335,24359467,2023-10-02 12:10:40,489
2023-10-02 16:01:02.447,81794855,2023-10-02 12:10:40,489
2023-10-02 16:01:03.304,28255712,2023-10-02 12:10:40,489
2023-10-02 16:01:04.090,93556458,2023-10-02 12:10:40,489
2023-10-02 16:01:05.039,88754667,2023-10-02 12:10:40,489
2023-10-02 16:01:05.936,32185356,2023-10-02 12:10:40,489
2023-10-02 16:01:06.743,99515933,2023-10-02 12:10:40,489
2023-10-02 16:01:07.645,25276983,2023-10-02 12:10:40,489
2023-10-02 16:01:08.448,23487468,2023-10-02 12:10:40,489
2023-10-02 16:01:09.499,52374528,2023-10-02 12:10:40,489
2023-10-02 16:01:10.238,41799631,2023-10-02 12:10:40,489
2023-10-02 16:01:11.318,45216614,2023-10-02 12:10:40,489
2023-10-02 16:01:12.172,62178875,2023-10-02 12:10:40,489
2023-10-02 16:01:12.982,43111475,2023-10-02 12:10:40,489
2023-10-02 16:01:13.897,72952358,2023-10-02 12:10:40,489
2023-10-02 16:01:14.657,48342897,2023-10-02 12:10:40,489
2023-10-02 16:01:15.406,38467956,2023-10-02 12:10:40,489
2023-10-02 16:01:16.557,95667386,2023-10-02 12:10:41,489
2023-10-02 16:01:17.401,13165311,2023-10-02 12:10:41,489
2023-10-02 16:01:18.305,83313894,2023-10-02 12:10:41,489
2023-10-02 16:01:19.039,99491159,2023-10-02 12:10:41,489
2023-10-02 16:01:19.823,93839144,2023-10-02 12:10:41,489
2023-10-02 16:01:20.577,78141831,2023-10-02 12:10:41,489
2023-10-02 16:01:21.695,32272531,2023-10-02 12:10:41,489
2023-10-02 16:01:22.629,27216267,2023-10-02 12:10:41,489
2023-10-02 16:01:23.538,71521846,2023-10-02 12:10:41,489
2023-10-02 16:01:24.446,37623315,2023-10-02 12:10:41,489
2023-10-02 16:01:25.322,49625949,2023-10-02 12:10:41,489
2023-10-02 16:01:26.226,87319244,2023-10-02 12:10:41,489
2023-10-02 16:01:26.971,19168488,2023-10-02 12:10:41,489
2023-10-02 16:01:27.905,76789367,2023-10-02 12:10:41,489
2023-10-02 16:01:28.822,19932419,2023-10-02 12:10:41,489
2023-10-02 16:01:29.665,54626452,2023-10-02 12:10:41,489
2023-10-02 16:01:30.437,69436941,2023-10-02 12:10:41,489
2023-10-02 16:01:31.449,74921173,2023-10-02 12:10:42,489
2023-10-02 16:01:32.608,98232765,2023-10-02 12:10:42,489
2023-10-02 16:01:33.378,47634118,2023-10-02 12:10:42,489
2023-10-02 16:01:34.106,14144911,2023-10-02 12:10:42,489
2023-10-02 16:01:34.990,54581569,2023-10-02 12:10:42,489
2023-10-02 16:01:36.023,87226598,2023-10-02 12:10:42,489
2023-10-02 16:01:36.758,49264715,2023-10-02 12:10:42,489
2023-10-02 16:01:37.817,23246445,2023-10-02 12:10:42,489
2023-10-02 16:01:38.682,77282542,2023-10-02 12:10:42,489
2023-10-02 16:01:39.699,29397779,2023-10-02 12:10:42,489
2023-10-02 16:01:40.617,17597757,2023-10-02 12:10:42,489
2023-10-02 16:01:41.437,82352567,2023-10-02 12:10:42,489
2023-10-02 16:01:42.238,99166928,2023-10-02 12:10:42,489
2023-10-02 16:01:43.167,52741619,2023-10-02 12:10:42,489
2023-10-02 16:01:44.027,26859435,2023-10-02 12:10:42,489
2023-10-02 16:01:45.114,52564176,2023-10-02 12:10:42,489
2023-10-02 16:01:45.999,22941126,2023-10-02 12:10:43,489
2023-10-02 16:01:46.751,29267941,2023-10-02 12:10:43,489
2023-10-02 16:01:47.595,61884417,2023-10-02 12:10:43,489
2023-10-02 16:01:48.602,87866927,2023-10-02 12:10:43,489
2023-10-02 16:01:49.463,37151426,2023-10-02 12:10:43,489
2023-10-02 16:01:50.561,87412355,2023-10-02 12:10:43,489
2023-10-02 16:01:51.403,39963929,2023-10-02 12:10:43,489
2023-10-02 16:01:52.708,12596125,2023-10-02 12:10:43,489
2023-10-02 16:01:53.574,14313182,2023-10-02 12:10:43,489
2023-10-02 16:01:54.351,13746537,2023-10-02 12:10:43,489
2023-10-02 16:01:55.226,57525918,2023-10-02 12:10:43,489
2023-10-02 16:01:56.031,83195414,2023-10-02 12:10:43,489
2023-10-02 16:01:57.007,42135312,2023-10-02 12:10:43,489
2023-10-02 16:01:57.701,83857363,2023-10-02 12:10:43,489
2023-10-02 16:01:58.632,69142731,2023-10-02 12:10:43,489
2023-10-02 16:01:59.515,67486348,2023-10-02 12:10:43,489
2023-10-02 16:02:00.434,92278856,2023-10-02 12:10:44,489
2023-10-02 16:02:01.363,44524577,2023-10-02 12:10:44,489
2023-10-02 16:02:02.221,38692354,2023-10-02 12:10:44,489
2023-10-02 16:02:03.197,52962727,2023-10-02 12:10:44,489
