pagare,fecha_corte,valor_comision_reportado
65623714,2023-10-31,3987
86372841,2023-10-31,28998
89183391,2023-10-31,3945
35649938,2023-10-31,14960
41628542,2023-10-31,16000
83663762,2023-10-31,31770
15691566,2023-10-31,28776
97431321,2023-10-31,9000
74722231,2023-10-31,7360
74826429,2023-10-31,7600
93711864,2023-10-31,14280
49562581,2023-10-31,7360
95889398,2023-10-31,12800
47987783,2023-10-31,8096
12479238,2023-10-31,8096
27258752,2023-10-31,17000
32621613,2023-10-31,30609
31386482,2023-10-31,7500
53678249,2023-10-31,12000
81336231,2023-10-31,8556
68295562,2023-10-31,19200
41269983,2023-10-31,15180
26489145,2023-10-31,17020
95656664,2023-10-31,12200
96564261,2023-10-31,16284
82314692,2023-10-31,20300
75353646,2023-10-31,11960
79726339,2023-10-31,5706
57845991,2023-10-31,16008
57389843,2023-10-31,3655
88277464,2023-10-31,5500
62477689,2023-10-31,14720
77691152,2023-10-31,5005
84731538,2023-10-31,11220
57298916,2023-10-31,15600
24359467,2023-10-31,13800
28255712,2023-10-31,8924
93556458,2023-10-31,18216
88754667,2023-10-31,12880
32185356,2023-10-31,16560
99515933,2023-10-31,15000
23487468,2023-10-31,3575
52374528,2023-10-31,15732
41799631,2023-10-31,17600
45216614,2023-10-31,7820
43111475,2023-10-31,13432
83313894,2023-10-31,7728
99491159,2023-10-31,9614
78141831,2023-10-31,5525
32272531,2023-10-31,13800
27216267,2023-10-31,15180
71521846,2023-10-31,16284
49625949,2023-10-31,17000
87319244,2023-10-31,11040
76789367,2023-10-31,8464
19932419,2023-10-31,16192
54626452,2023-10-31,8710
74921173,2023-10-31,11224
98232765,2023-10-31,6375
14144911,2023-10-31,5500
54581569,2023-10-31,9200
87226598,2023-10-31,8060
49264715,2023-10-31,15600
77282542,2023-10-31,16928
29397779,2023-10-31,14720
82352567,2023-10-31,17296
99166928,2023-10-31,12870
52741619,2023-10-31,7084
26859435,2023-10-31,15000
22941126,2023-10-31,8004
87866927,2023-10-31,9600
37151426,2023-10-31,18400
12596125,2023-10-31,15900
14313182,2023-10-31,8400
42135312,2023-10-31,11040
83857363,2023-10-31,11040
69142731,2023-10-31,13600
67486348,2023-10-31,11592
92278856,2023-10-31,11776
44524577,2023-10-31,3900
38692354,2023-10-31,33888
52962727,2023-10-31,16192
84876653,2023-10-31,9750
73947544,2023-10-31,28998
65623714,2023-10-31,3987
86372841,2023-10-31,28998
89183391,2023-10-31,3945
35649938,2023-10-31,14960
41628542,2023-10-31,16000
83663762,2023-10-31,31770
15691566,2023-10-31,28776
97431321,2023-10-31,9000
74722231,2023-10-31,7360
74826429,2023-10-31,7600
93711864,2023-10-31,14280
49562581,2023-10-31,7360
95889398,2023-10-31,12800
47987783,2023-10-31,8096
12479238,2023-10-31,8096
27258752,2023-10-31,17000
32621613,2023-10-31,30609
31386482,2023-10-31,7500
53678249,2023-10-31,12000
81336231,2023-10-31,8556
68295562,2023-10-31,19200
41269983,2023-10-31,15180
26489145,2023-10-31,17020
95656664,2023-10-31,12200
96564261,2023-10-31,16284
82314692,2023-10-31,20300
75353646,2023-10-31,11960
79726339,2023-10-31,5706
57845991,2023-10-31,16008
57389843,2023-10-31,3655
88277464,2023-10-31,5500
62477689,2023-10-31,14720
77691152,2023-10-31,5005
84731538,2023-10-31,11220
57298916,2023-10-31,15600
24359467,2023-10-31,13800
28255712,2023-10-31,8924
93556458,2023-10-31,18216
88754667,2023-10-31,12880
32185356,2023-10-31,16560
99515933,2023-10-31,15000
23487468,2023-10-31,3575
52374528,2023-10-31,15732
41799631,2023-10-31,17600
45216614,2023-10-31,7820
43111475,2023-10-31,13432
83313894,2023-10-31,7728
99491159,2023-10-31,9614
78141831,2023-10-31,5525
32272531,2023-10-31,13800
27216267,2023-10-31,15180
71521846,2023-10-31,16284
49625949,2023-10-31,17000
87319244,2023-10-31,11040
76789367,2023-10-31,8464
19932419,2023-10-31,16192
54626452,2023-10-31,8710
74921173,2023-10-31,11224
98232765,2023-10-31,6375
14144911,2023-10-31,5500
54581569,2023-10-31,9200
87226598,2023-10-31,8060
49264715,2023-10-31,15600
77282542,2023-10-31,16928
29397779,2023-10-31,14720
82352567,2023-10-31,17296
99166928,2023-10-31,12870
52741619,2023-10-31,7084
26859435,2023-10-31,15000
22941126,2023-10-31,8004
87866927,2023-10-31,9600
37151426,2023-10-31,18400
12596125,2023-10-31,15900
14313182,2023-10-31,8400
42135312,2023-10-31,11040
83857363,2023-10-31,11040
69142731,2023-10-31,13600
67486348,2023-10-31,11592
92278856,2023-10-31,11776
44524577,2023-10-31,3900
38692354,2023-10-31,33888
52962727,2023-10-31,16192
84876653,2023-10-31,9750
73947544,2023-10-31,28998
11736582,2023-10-31,6256
93242576,2023-10-31,14904
21384655,2023-10-31,14280
64543456,2023-10-31,14628
56811159,2023-10-31,7600
76692621,2023-10-31,15088
11513748,2023-10-31,7990
38916478,2023-10-31,14812
72513823,2023-10-31,13800
75914163,2023-10-31,13616
83387265,2023-10-31,15600
38895459,2023-10-31,7700
78749781,2023-10-31,14904
66886749,2023-10-31,10400
72337865,2023-10-31,8050
